index10,Humidity,Temperature(C),GHI,Hour,Month,Output_power,previous
2020-09-20 20:00:00,77,9,0,20,9,0.0,0.0
2020-09-20 21:00:00,75,10,0,21,9,0.0,0.0
2020-09-20 22:00:00,76,10,0,22,9,0.0,0.0
2020-09-20 23:00:00,79,10,0,23,9,0.0,0.0
2020-09-21 00:00:00,83,11,0,0,9,0.0,0.0
2020-09-21 01:00:00,88,10,0,1,9,0.0,0.0
2020-09-21 02:00:00,92,10,0,2,9,0.0,0.0
2020-09-21 03:00:00,94,10,0,3,9,0.0,0.0
2020-09-21 04:00:00,95,11,8,4,9,0.0,0.0
2020-09-21 05:00:00,93,11,66,5,9,0.0,0.0
2020-09-21 06:00:00,89,11,147,6,9,0.0,0.0
2020-09-21 07:00:00,84,12,185,7,9,0.3255208333333333,0.0
2020-09-21 08:00:00,80,13,216,8,9,0.9244791666666666,0.3255208333333333
2020-09-21 09:00:00,75,14,232,9,9,2.1080729166666665,0.9244791666666666
2020-09-21 10:00:00,74,15,225,10,9,4.092447916666667,2.1080729166666665
2020-09-21 11:00:00,73,15,227,11,9,4.25,4.092447916666667
2020-09-21 12:00:00,73,15,188,12,9,4.591145833333333,4.25
2020-09-21 13:00:00,75,15,110,13,9,3.983072916666666,4.591145833333333
2020-09-21 14:00:00,76,14,55,14,9,4.342447916666667,3.983072916666666
2020-09-21 15:00:00,78,14,32,15,9,2.3828125,4.342447916666667
2020-09-21 16:00:00,81,13,11,16,9,1.05078125,2.3828125
2020-09-21 17:00:00,84,13,0,17,9,0.6328124999999999,1.05078125
2020-09-21 18:00:00,86,13,-1,18,9,0.30859375,0.6328124999999999
2020-09-21 19:00:00,87,12,-1,19,9,0.0,0.30859375
2020-09-21 20:00:00,88,12,0,20,9,0.0,0.0
2020-09-21 21:00:00,89,12,0,21,9,0.0,0.0
2020-09-21 22:00:00,88,12,0,22,9,0.0,0.0
2020-09-21 23:00:00,88,12,-1,23,9,0.0,0.0
2020-09-22 00:00:00,89,12,-1,0,9,0.0,0.0
